Item_name,true_label,prediction,inference_time
Sagai Dates 1 kg,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.3137075424194336
فول سوداني لذيذ 250 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Prepared/Preserved Foods,0.3137075424194336
تمر عجوة فاخر 500 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.3137075424194336
Afghanistan Dry Fig Rope 250 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.3137075424194336
لولو تمر العجوة 500 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.3137075424194336
Al Huda Ajwa Al Madina Dates 1 kg,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.4106636047363281
لولو شرائح أناناس في شراب خفيف 850 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Beverages,0.4106636047363281
شرائح كيوي أمريكية مجففة 250 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.4106636047363281
لولو كوكتيل فواكه في شراب ثقيل عرض التوفير 3 × 425 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Beverages,0.4106636047363281
قودي قطع وسيقان فطر 400 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Prepared/Preserved Foods,0.4106636047363281
دولي كوكتيل فواكه استوائية 836 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Beverages,0.29968891143798826
