Item_name,true_label,prediction,inference_time
Tomoor Safawi Dates 500 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.3001697063446045
Saudia Tomato Paste 60g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.3001697063446045
Doritos Nacho Cheese Tortilla Chips 12 x 21 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Prepared/Preserved Foods,0.3001697063446045
LuLu Dates Safawi Madina 500 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.3001697063446045
LuLu Mushrooms Pieces & Stems Value Pack 3 x 425 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Vegetables - Unprepared/Unprocessed (Frozen),0.3001697063446045
LuLu Roasted Plain Pista USA 500 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.2902096748352051
Coconut Powder 500 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.2902096748352051
Oishi Kirei Yummy Flakes Shrimp Flavor 45 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fish and Seafood,0.2902096748352051
Goody Mushrooms Pieces and Stems 400 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Vegetables - Unprepared/Unprocessed (Frozen),0.2902096748352051
Hazelnut Roasted 500 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.2902096748352051
Walnut China 500g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.3930140495300293
Macadamia Nuts 250 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.3930140495300293
Agrofino Organic Black Chia 1 kg,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.3930140495300293
Al Huda Ajwa Dates 500 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.3930140495300293
Al Alali Tomato Paste 8 x 130 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.3930140495300293
Nada Tomato Paste 8 x 135 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.2860108852386475
Goody Sieved Tomatoes 700 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.2860108852386475
Dried Kiwi Slices USA 250 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.2860108852386475
Premium Ajwa Dates 500 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.2860108852386475
Looney Tunes Cheese Corn Puffs 12 x 12 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Cereal/Grain/Pulse Products,0.2860108852386475
Al Kabeer White Fish Fillets 1 kg,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,0.2802900314331055
Goody Light Meat Tuna In Sunflower Oil 90 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,0.2802900314331055
Goody Tenderina Sandwich Tuna Brine Water 80 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,0.2802900314331055
Goody Tenderina Sandwich Tuna Lemon & Pepper 80 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,0.2802900314331055
PFP Crab Stick 480 g,Food/Beverage|Fish and Seafood,Food/Beverage|Meat/Fish/Seafood Substitutes,0.2802900314331055
Century Tuna Hot And Spicy 180 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,0.283995532989502
Goody Light Meat Tuna With Chilli 185 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,0.283995532989502
Treva Light Meat Tuna In Vegetable Oil 170 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,0.283995532989502
Asmak Classic White Fish Fillet 1 kg,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,0.283995532989502
Americana Zingz Breaded Shrimps 750 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,0.283995532989502
Goody Light Meat Tuna In Sunflower Oil 185 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,2.479881238937378
LuLu Light Meat Tuna Solid In Brine 3 x 185 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,2.479881238937378
Goody Light Meat Tuna in Brine Water 90 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,2.479881238937378
PFP Fish Tofu 480 g,Food/Beverage|Fish and Seafood,Food/Beverage|Meat/Fish/Seafood Substitutes,2.479881238937378
LuLu Light Meat Tuna Solid In Brine 185 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,2.479881238937378
Goody Tenderina Sandwich Tuna 80 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,2.4752273082733156
PFP Frozen Fish Tofu Puff Mushroom 500 g,Food/Beverage|Fish and Seafood,Food/Beverage|Meat/Fish/Seafood Substitutes,2.4752273082733156
LuLu Light Meat Tuna Flakes In Brine 3 x 185 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,2.4752273082733156
Asmak Shrimps Medium 400 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,2.4752273082733156
Al Kabeer Frozen Fish Fingers 300 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,2.4752273082733156
Nestle Full Cream Sweetened Condensed Milk 370 g,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,2.4902154445648192
Govind Malai Paneer 200 g,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Substitutes,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,2.4902154445648192
London Dairy Cookies & Cream Ice Cream 1 Litre,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,2.4902154445648192
KDD Thick Cream 3 x 250 ml,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,2.4902154445648192
London Dairy Double Chocolate Ice Cream 1 Litre,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,2.4902154445648192
KDD Chocolate Flavoured Milk 180 ml,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Food/Beverage|Beverages,2.4813429355621337
LuLu Milk Powder Pouch 1 .8 kg,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,2.4813429355621337
Lulu Coconut Cream 3 x 400 ml,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,2.4813429355621337
