Item_name,true_label,prediction,inference_time
Sagai Dates 1 kg,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.3946645259857178
فول سوداني لذيذ 250 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Cereal/Grain/Pulse Products,0.3946645259857178
تمر عجوة فاخر 500 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.3946645259857178
Afghanistan Dry Fig Rope 250 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.3946645259857178
لولو تمر العجوة 500 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.3946645259857178
Al Huda Ajwa Al Madina Dates 1 kg,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.41238741874694823
لولو شرائح أناناس في شراب خفيف 850 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.41238741874694823
شرائح كيوي أمريكية مجففة 250 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.41238741874694823
لولو كوكتيل فواكه في شراب ثقيل عرض التوفير 3 × 425 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Beverages,0.41238741874694823
قودي قطع وسيقان فطر 400 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.41238741874694823
دولي كوكتيل فواكه استوائية 836 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Beverages,0.2573129177093506
الفارس فول سوداني 250جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Cereal/Grain/Pulse Products,0.2573129177093506
لوز أسترالي 20/22 ، 500 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.2573129177093506
Tomoor Safawi Dates 500 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.2573129177093506
لولو تمور خضري 1 كجم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.2573129177093506
LuLu Cashew Nuts W320 500 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,4.558573389053345
Al Huda Ajwa Dates 500 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,4.558573389053345
LuLu Almond USA 23-25 1 kg,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,4.558573389053345
Freshly Whole Kernel Corn 340 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Vegetables - Unprepared/Unprocessed (Frozen),4.558573389053345
مكاداميا مكسرات 250 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,4.558573389053345
Sirella White Fish Fillets 1 kg,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.420130872726441
قودي لحم تونا خفيف في الماء المالح 185 جم,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.420130872726441
ريو ماري سلاتونة بخلطة الذرة 2 × 160 جم,Food/Beverage|Fish and Seafood,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,4.420130872726441
ينجز 10أصابع سمك 250جم,Food/Beverage|Fish and Seafood,Food/Beverage|Prepared/Preserved Foods,4.420130872726441
Al Khair Light Meat Tuna Solid in Sunflower Oil 185 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.420130872726441
قودي تونة تندرينا في زيت دوار الشمس 185 جم,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.420077610015869
Treva Light Meat Tuna In Vegetable Oil 170 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.420077610015869
تبرك روبيان مطبوخ 500 جم,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.420077610015869
Aloha Light Meat Tuna 4 x 185 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.420077610015869
ريو ماري سلاتونة بخلطة الذرة 2 × 160 جم,Food/Beverage|Fish and Seafood,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,4.420077610015869
الكبير فيليه سمك بالبقسماط 330 جم,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.42330641746521
أمريكانا روبيان زينجز بالبقسماط 750 جم,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.42330641746521
اسماك فيليه سمك ابيض كلاسيك 1 كجم,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.42330641746521
لولو لحم تونا خفيف صلب في محلول ملحي 185 جم,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.42330641746521
ريو ماري سلاتونا المكسيكية وصفة سلطة الخضار والتونة 2 × 160 جم,Food/Beverage|Fish and Seafood,Food/Beverage|Prepared/Preserved Foods,4.42330641746521
Goody Light Meat Tuna in Brine Water 90 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.439654111862183
قودي لحم تونا خفيف بالفلفل الحار 185 جم,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.439654111862183
Goody Tenderina Sandwich Tuna Brine Water 80 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.439654111862183
Rio Mare Light Meat Tuna In Olive Oil 6 x 80 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.439654111862183
Goody Light Meat Tuna In Sunflower Oil 90 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.439654111862183
نستلة حليب مكثف محلى كامل الدسم 370 جم,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,4.452016019821167
نستله نيدو حليب مجفف مدعم غني بالألياف عبوة اقتصادية 2.5 كجم,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,4.452016019821167
أنكور مسحوق حليب كامل الدسم 2.5 كجم,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,4.452016019821167
المراعي حليب مكثف محلى 397 جم,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,4.452016019821167
