Item_name,true_label,prediction,inference_time
Sagai Dates 1 kg,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.25904064178466796
فول سوداني لذيذ 250 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Cereal/Grain/Pulse Products,0.25904064178466796
تمر عجوة فاخر 500 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.25904064178466796
Afghanistan Dry Fig Rope 250 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.25904064178466796
لولو تمر العجوة 500 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.25904064178466796
Al Huda Ajwa Al Madina Dates 1 kg,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.2321017265319824
لولو شرائح أناناس في شراب خفيف 850 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.2321017265319824
شرائح كيوي أمريكية مجففة 250 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.2321017265319824
لولو كوكتيل فواكه في شراب ثقيل عرض التوفير 3 × 425 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Beverages,0.2321017265319824
قودي قطع وسيقان فطر 400 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.2321017265319824
دولي كوكتيل فواكه استوائية 836 جم,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Beverages,0.2252798080444336
