Item_name,true_label,prediction,inference_time
Tomoor Safawi Dates 500 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.264846658706665
Saudia Tomato Paste 60g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.264846658706665
Doritos Nacho Cheese Tortilla Chips 12 x 21 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Prepared/Preserved Foods,0.264846658706665
LuLu Dates Safawi Madina 500 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.264846658706665
LuLu Mushrooms Pieces & Stems Value Pack 3 x 425 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Vegetables - Unprepared/Unprocessed (Frozen),0.264846658706665
LuLu Roasted Plain Pista USA 500 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.24021100997924805
Coconut Powder 500 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.24021100997924805
Oishi Kirei Yummy Flakes Shrimp Flavor 45 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fish and Seafood,0.24021100997924805
Goody Mushrooms Pieces and Stems 400 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.24021100997924805
Hazelnut Roasted 500 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.24021100997924805
Walnut China 500g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.240615177154541
Macadamia Nuts 250 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.240615177154541
Agrofino Organic Black Chia 1 kg,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Cereal/Grain/Pulse Products,0.240615177154541
Al Huda Ajwa Dates 500 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.240615177154541
Al Alali Tomato Paste 8 x 130 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,0.240615177154541
Nada Tomato Paste 8 x 135 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,4.348741674423218
Goody Sieved Tomatoes 700 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,4.348741674423218
Dried Kiwi Slices USA 250 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,4.348741674423218
Premium Ajwa Dates 500 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,4.348741674423218
Looney Tunes Cheese Corn Puffs 12 x 12 g,Food/Beverage|Fruits/Vegetables/Nuts/Seeds Prepared/Processed,Food/Beverage|Cereal/Grain/Pulse Products,4.348741674423218
Al Kabeer White Fish Fillets 1 kg,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.327449560165405
Goody Light Meat Tuna In Sunflower Oil 90 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.327449560165405
Goody Tenderina Sandwich Tuna Brine Water 80 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.327449560165405
Goody Tenderina Sandwich Tuna Lemon & Pepper 80 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.327449560165405
PFP Crab Stick 480 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.327449560165405
Century Tuna Hot And Spicy 180 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.315641069412232
Goody Light Meat Tuna With Chilli 185 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.315641069412232
Treva Light Meat Tuna In Vegetable Oil 170 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.315641069412232
Asmak Classic White Fish Fillet 1 kg,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.315641069412232
Americana Zingz Breaded Shrimps 750 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.315641069412232
Goody Light Meat Tuna In Sunflower Oil 185 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.303513622283935
LuLu Light Meat Tuna Solid In Brine 3 x 185 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.303513622283935
Goody Light Meat Tuna in Brine Water 90 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.303513622283935
PFP Fish Tofu 480 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.303513622283935
LuLu Light Meat Tuna Solid In Brine 185 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.303513622283935
Goody Tenderina Sandwich Tuna 80 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.310393476486206
PFP Frozen Fish Tofu Puff Mushroom 500 g,Food/Beverage|Fish and Seafood,Food/Beverage|Meat/Fish/Seafood Substitutes,4.310393476486206
LuLu Light Meat Tuna Flakes In Brine 3 x 185 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.310393476486206
Asmak Shrimps Medium 400 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.310393476486206
Al Kabeer Frozen Fish Fingers 300 g,Food/Beverage|Fish and Seafood,Food/Beverage|Fish and Seafood,4.310393476486206
Nestle Full Cream Sweetened Condensed Milk 370 g,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,4.331544065475464
Govind Malai Paneer 200 g,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Substitutes,Food/Beverage|Milk/Butter/Cream/Yogurts/Cheese/Eggs/Substitutes,4.331544065475464
